model,size_gb,mean_kl
PFIT_r1.6,1.060,0.735262
PFIT_r2.0,1.417,0.213360
PFIT_r2.4,1.752,0.078319
PFIT_r2.8,2.078,0.030782
PFIT_r3.2,2.413,0.014581
std_IQ2_S,1.061,0.637026
std_IQ3_S,1.489,0.230181
std_IQ4_XS,1.823,0.081767
std_Q5_K_M,2.407,0.018487
std_Q6_K,2.776,0.010049
